Frame ID,QR ID,QR 2D,QR 3D
59,15,"[[300, 187], [369, 182], [375, 250], [306, 255]]","[2.2414961368095856, -179.32890905347327, -0.32590745449171776, -4.495129727318673]"
60,15,"[[290, 197], [359, 192], [364, 261], [296, 266]]","[2.2187971338364445, -179.01062462037711, 2.5071444490083112, -3.874093947909857]"
61,15,"[[284, 198], [352, 192], [360, 261], [291, 267]]","[2.229363848433988, -177.86654949214505, 2.124773300787063, -4.886272277483949]"
62,15,"[[286, 200], [355, 195], [361, 263], [293, 269]]","[2.240147969029817, -178.52227480217775, 1.3358267376906359, -4.5371217851128485]"
63,15,"[[282, 205], [350, 197], [359, 265], [290, 273]]","[2.2404692498490064, -179.99968260756413, 1.0602495492110726, -6.773855592203593]"
64,15,"[[288, 216], [356, 209], [365, 276], [296, 284]]","[2.2508681611482686, -179.35168086652135, -0.4022086181930652, -6.619513852166669]"
65,15,"[[295, 210], [363, 203], [371, 271], [303, 278]]","[2.235132777417978, -178.55621766490844, 1.3770317449667917, -5.842427536575263]"
66,15,"[[298, 217], [367, 211], [373, 279], [305, 284]]","[2.2451720892795954, -178.7555247994754, -0.2560854091163246, -4.8189275507859675]"
67,15,"[[310, 221], [378, 217], [383, 284], [315, 289]]","[2.233868941789936, -179.44644936302228, 0.3509043265302168, -3.8695111346605917]"
68,15,"[[312, 229], [379, 225], [383, 293], [317, 297]]","[2.218902496350889, -178.26060076706702, 4.007240973600976, -2.8919563406113395]"
69,15,"[[310, 231], [376, 226], [380, 293], [314, 297]]","[2.257503216309915, 179.43335605704792, 2.9948443945047143, -3.5576989992794004]"
70,15,"[[296, 228], [363, 224], [366, 291], [300, 295]]","[2.25990321054474, 179.55280878219645, 2.9140280938036534, -3.0852978262055233]"
71,15,"[[285, 233], [353, 228], [357, 295], [290, 300]]","[2.2641277329664855, 179.01024052424057, 1.3809580731302022, -4.152756247372579]"
72,15,"[[264, 232], [331, 227], [336, 294], [268, 299]]","[2.2894057974363267, 178.6692408522337, 1.7124297483153086, -4.222928592097762]"
73,15,"[[251, 238], [319, 233], [323, 300], [256, 305]]","[2.3050885109554518, 178.96562664211103, 1.8498749961377563, -4.157253804562489]"
74,15,"[[238, 236], [306, 231], [311, 299], [244, 304]]","[2.297736973091042, -179.31938160346346, 3.1618934074142415, -3.983547801333287]"
75,15,"[[237, 239], [305, 234], [310, 301], [242, 306]]","[2.32493344556217, 179.33850326907938, 1.1736459122984353, -4.312814534813734]"
76,15,"[[208, 233], [277, 228], [283, 295], [214, 301]]","[2.3503699618529543, 179.6672536271679, 0.8625010402297029, -4.830527124204037]"
77,15,"[[187, 225], [257, 219], [264, 288], [193, 293]]","[2.34726069495875, 179.83407915122356, 0.8986054218224246, -4.894013285936595]"
78,15,"[[176, 219], [247, 214], [252, 282], [182, 288]]","[2.3609424399827783, 178.67669314105976, 1.3560702156856224, -4.790423680903456]"
79,15,"[[137, 221], [208, 215], [215, 285], [144, 292]]","[2.356157365307059, 179.32744986497946, 3.9855750584369027, -5.269804798353664]"
80,15,"[[130, 221], [202, 215], [208, 285], [138, 291]]","[2.386913215969341, 179.88246880723318, 3.580341727540759, -4.939643096276055]"
81,15,"[[109, 222], [181, 216], [189, 285], [117, 292]]","[2.435871150339863, 179.68726187164384, 2.4689648311116255, -5.694217373563216]"
82,15,"[[121, 211], [193, 208], [198, 277], [127, 283]]","[2.3955877527734533, 179.7107870137232, 3.715878960920094, -3.7507890740149006]"
