Frame ID,QR ID,QR 2D,QR 3D
431,5,"[[379, 91], [395, 92], [395, 108], [379, 108]]","[4.454546462215299, -176.1845414873264, -3.6174149466556322, 0.044363394406424735]"
431,4,"[[235, 158], [244, 158], [245, 167], [236, 167]]","[7.684841230460127, -161.55804238793516, 10.513917812996734, -0.1467075379409541]"
434,5,"[[423, 128], [440, 127], [441, 143], [424, 144]]","[4.408635885659105, -158.3387721287812, 19.066676723034313, -3.3493010201605578]"
435,5,"[[422, 136], [439, 135], [440, 152], [424, 153]]","[4.392932488262143, -174.06272220436955, 34.073789729413875, -3.292412531380674]"
436,2,"[[889, 32], [929, 16], [926, 82], [888, 94]]","[2.280312232213111, -173.23688439780412, -28.390573789869762, -17.378351838719578]"
436,5,"[[434, 164], [451, 165], [451, 182], [435, 182]]","[4.277270617668537, 170.3475434851352, 0.5890430126346629, 1.765239414079022]"
437,5,"[[457, 177], [474, 176], [473, 193], [456, 193]]","[4.328191748457262, 152.60392387251474, 39.15824627412021, -4.764960683349379]"
438,5,"[[462, 177], [478, 178], [478, 195], [461, 195]]","[4.3733519240565375, 177.13704782818232, 6.3725473227260965, 1.9696826056233143]"
439,2,"[[898, 55], [942, 39], [938, 112], [894, 123]]","[2.081799167271509, -173.62934094148588, -28.364549405214326, -14.585906458801931]"
439,5,"[[441, 198], [457, 199], [457, 216], [440, 215]]","[4.4539532250737865, 167.09343275715787, 8.911942976221464, 3.6600869618138434]"
440,2,"[[880, 45], [926, 27], [921, 102], [876, 114]]","[2.000762234238874, -173.08831403672477, -28.173303909127068, -16.00069786035556]"
440,5,"[[416, 193], [433, 193], [434, 210], [416, 210]]","[4.274290567181846, 157.54522597655173, 13.606194894186824, -0.6153709905137913]"
441,5,"[[386, 171], [404, 171], [404, 189], [386, 187]]","[4.090162070725223, -162.08960639668965, 23.07741465909714, 2.397741085654255]"
442,2,"[[849, 33], [900, 11], [897, 94], [845, 110]]","[1.7522728000623853, 3.380956369456323, 43.54488411515678, -179.73251092724945]"
442,5,"[[351, 199], [368, 197], [370, 215], [352, 216]]","[4.1873222966234955, 165.20396881100646, 15.353786333370149, -6.913099725780079]"
443,2,"[[881, 35], [939, 10], [940, 96], [881, 114]]","[1.7543234466761028, -172.81574120398244, -27.20367088592681, -18.309611963881856]"
444,5,"[[352, 213], [371, 212], [372, 231], [355, 232]]","[3.8630793466540463, 176.86609389237168, 28.795504896223502, -7.926225299339435]"
